Traceback (most recent call last):
  File "/home/ubuntu/clawd/scripts/email_notify_daemon.py", line 32, in <module>
    logging.FileHandler(LOG_FILE),
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/usr/lib/python3.12/logging/__init__.py", line 1231, in __init__
    StreamHandler.__init__(self, self._open())
                                 ^^^^^^^^^^^^
  File "/usr/lib/python3.12/logging/__init__.py", line 1263, in _open
    return open_func(self.baseFilename, self.mode,
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
PermissionError: [Errno 13] Permission denied: '/home/ubuntu/clawd/logs/email_daemon.log'
2026-02-03 14:34:02,499 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 14:34:02,499 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 14:36:02,752 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 14:36:02,752 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 14:36:02,813 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 14:36:02,813 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 14:38:03,084 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 14:38:03,084 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 14:38:03,141 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 14:38:03,141 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 14:40:03,382 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 14:40:03,382 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 14:40:03,472 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 14:40:03,472 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 14:42:03,752 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 14:42:03,752 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 14:42:03,811 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 14:42:03,811 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 14:44:04,082 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 14:44:04,082 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 14:44:04,144 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 14:44:04,144 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 14:46:04,389 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 14:46:04,389 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 14:46:04,445 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 14:46:04,445 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 14:48:04,700 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 14:48:04,700 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 14:48:04,764 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 14:48:04,764 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 14:50:05,023 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 14:50:05,023 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 14:50:05,094 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 14:50:05,094 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 14:52:05,339 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 14:52:05,339 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 14:52:05,403 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 14:52:05,403 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 14:54:05,671 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 14:54:05,671 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 14:54:05,731 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 14:54:05,731 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 14:56:05,992 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 14:56:05,992 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 14:56:06,055 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 14:56:06,055 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 14:58:06,305 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 14:58:06,305 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 14:58:06,364 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 14:58:06,364 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 15:00:06,607 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 15:00:06,607 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 15:00:06,666 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 15:00:06,666 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 15:02:06,931 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 15:02:06,931 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 15:02:06,990 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 15:02:06,990 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 15:04:07,245 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 15:04:07,245 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 15:04:07,299 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 15:04:07,299 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 15:06:07,543 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 15:06:07,543 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 15:06:07,603 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 15:06:07,603 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 15:08:07,916 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 15:08:07,916 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 15:08:07,988 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 15:08:07,988 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 15:10:08,275 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 15:10:08,275 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 15:10:08,357 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 15:10:08,357 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 15:12:08,609 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 15:12:08,609 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 15:12:08,673 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 15:12:08,673 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 15:14:08,933 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 15:14:08,933 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 15:14:08,995 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 15:14:08,995 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 15:16:09,232 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 15:16:09,232 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 15:16:09,291 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 15:16:09,291 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 15:18:09,539 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 15:18:09,539 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 15:18:09,602 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 15:18:09,602 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 15:20:09,850 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 15:20:09,850 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 15:20:09,912 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 15:20:09,912 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 15:22:10,188 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 15:22:10,188 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 15:22:10,252 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 15:22:10,252 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 15:24:10,514 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 15:24:10,514 - INFO - file_cache is only supported with oauth2client<4.0.0
2026-02-03 15:24:10,585 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 15:24:10,585 - INFO - Refreshing credentials due to a 401 response. Attempt 1/2.
2026-02-03 15:26:10,840 - INFO - file_cache is only supported with oauth2client<4.0.0
